Reaction_id_in_ReactionPool	Comments	Equations	PPS_Shan
R01135	IMP:L-aspartate ligase (GDP-forming)	6.3.4.4	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01137	ATP:dADP phosphotransferase	2.7.4.6	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01157	Agmatine amidinohydrolase	3.5.3.11	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01163	L-histidinal:NAD + oxidoreductase	1.1.1.23	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01177	butanoyl-CoA:acetyl-CoA C-butanoyltransferase	2.3.1.9; 2.3.1.16	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01185	1D-myo-inositol 1-phosphate phosphohydrolase	3.1.3.25	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01186	1D-myo-inositol 4-phosphate phosphohydrolase	3.1.3.25	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01187	1D-myo-inositol 3-phosphate phosphohydrolase	3.1.3.25	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01195	Ferredoxin:NADP + oxidoreductase	1.18.1.2	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01197	2-oxoglutarate:ferredoxin oxidoreductase (decarboxylating)	1.2.7.3	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01209	"2,3-Dihydroxy-3-methylbutanoate hydro-lyase"	4.2.1.9	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01213	"acetyl-CoA:3-methyl-2-oxobutanoate C-acetyltransferase (thioester-hydrolysing, carboxymethyl-forming)"	2.3.3.13	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01214	L-Valine:2-oxoglutarate aminotransferase	2.6.1.6; 2.6.1.42	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01216	2-dehydropantoate formaldehyde-lyase (3-methyl-2-oxobutanoate-forming)	2.1.2.11; 4.1.2.12	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01220	"5,10-methylenetetrahydrofolate:NADP + oxidoreductase"	1.5.1.5	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01226	"5,10-Methylenetetrahydrofolate:3-methyl-2-oxobutanoate hydroxymethyltransferase"	2.1.2.11	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01229	GMP:diphosphate 5-phospho-alpha-D-ribosyltransferase	2.4.2.7; 2.4.2.8; 2.4.2.22	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01230	Xanthosine-5'-phosphate:ammonia ligase (AMP-forming)	6.3.4.1; 6.3.5.2	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01231	Xanthosine-5'-phosphate:L-glutamine amido-ligase (AMP-forming)	6.3.5.2	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01244	Adenine aminohydrolase	3.5.4.2	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01262	glutathione:L-amino-acid 5-glutamyltransferase	2.3.2.2	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01324	citrate hydro-lyase	4.2.1.3	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01325	citrate hydro-lyase (cis-aconitate-forming)	4.2.1.3; 4.2.1.4	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01354	ATP:propanoate adenylyltransferase	6.2.1.1; 6.2.1.17	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01373	Prephenate hydro-lyase (decarboxylating)	4.2.1.51; 4.2.1.91	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01388	D-Glycerate:NAD + 2-oxidoreductase	1.1.1.26; 1.1.1.29; 1.1.1.81	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01392	D-Glycerate:NADP + 2-oxidoreductase	1.1.1.79; 1.1.1.81	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01397	carbamoyl-phosphate:L-aspartate carbamoyltransferase	2.1.3.2	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01398	Carbamoyl-phosphate:L-ornithine carbamoyltransferase	2.1.3.3	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01402	S-methyl-5'-thioadenosine:phosphate S-methyl-5-thio-alpha-D-ribosyl-transferase	2.4.2.28	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01421	Benzoyl phosphate phosphohydrolase	3.6.1.7	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01466	O-phospho-L-homoserine phosphate-lyase (adding water;L-threonine-forming)	4.2.3.1	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01492	ATP:cob(I)alamin Co-beta-adenosyltransferase	2.5.1.17	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01512	ATP:3-phospho-D-glycerate 1-phosphotransferase	2.7.2.3	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01513	3-Phospho-D-glycerate:NAD + 2-oxidoreductase	1.1.1.95	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01515	3-Phospho-D-glyceroyl phosphate phosphohydrolase	3.6.1.7	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01518	"D-phosphoglycerate 2,3-phosphomutase"	5.4.2.1	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01547	ATP:dAMP phosphotransferase	2.7.4.3; 2.7.4.11	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01625	CoA:apo-[acyl-carrier-protein] pantetheinephosphotransferase	2.7.8.7; 2.7.8.-	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01641	sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glycolaldehyde transferase	2.2.1.1	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01655	"5,10-Methenyltetrahydrofolate 5-hydrolase (decyclizing)"	3.5.4.9	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01658	Dimethylallyl-diphosphate:isopentenyl-diphosphate dimethylallyltranstransferase	2.5.1.1	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01662	"3-phospho-D-glycerate 1,2-phosphomutase"	5.4.2.1; 5.4.2.4	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01663	dCMP aminohydrolase	3.5.4.12	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01665	ATP:dCMP phosphotransferase	2.7.4.14; 2.7.4.25	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01687	(5-L-glutamyl)-peptide:taurine 5-glutamyltransferase	2.3.2.2	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01714	5-O-(1-Carboxyvinyl)-3-phosphoshikimate phosphate-lyase (chorismate-forming)	4.2.3.5	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01771	ATP:L-homoserine O-phosphotransferase	2.7.1.39	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01773	L-Homoserine:NAD + oxidoreductase	1.1.1.3	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01775	L-homoserine:NADP + oxidoreductase	1.1.1.3	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01801	CDP-diacylglycerol:sn-glycerol-3-phosphate 3-phosphatidyltransferase	2.7.8.5	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01804	"phosphoenolpyruvate:N-acetyl-D-mannosamine C-(1-carboxyvinyl)transferase (phosphate-hydrolysing, 2-carboxy-2-oxoethyl-forming)"	2.5.1.56	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01818	"D-mannose 6-phosphate 1,6-phosphomutase"	5.4.2.8	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01819	D-mannose-6-phosphate aldose-ketose-isomerase	5.3.1.8	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01827	sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase	2.2.1.2	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01829	"sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase"	4.1.2.13	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01845	"Sedoheptulose 1,7-bisphosphate 1-phosphohydrolase"	3.1.3.11; 3.1.3.37	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01857	ATP:dGDP phosphotransferase	2.7.4.6	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01867	(S)-dihydroorotate:fumarate oxidoreductase	1.3.98.1	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01870	Orotidine-5'-phosphate:diphosphate phospho-alpha-D-ribosyl-transferase	2.4.2.10	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01878	Cytidine aminohydrolase	3.5.4.5	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01884	Creatinine amidohydrolase	3.5.2.10	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01900	isocitrate hydro-lyase (cis-aconitate-forming)	4.2.1.3	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01931	thiosulfate:cyanide sulfurtranserase	2.8.1.1	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01954	L-Citrulline:L-aspartate ligase (AMP-forming)	6.3.4.5	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01978	"acetyl-CoA:acetoacetyl-CoA C-acetyltransferase (thioester-hydrolysing, carboxymethyl-forming)"	2.3.3.10	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R02003	Geranyl-diphosphate:isopentenyl-diphosphate geranyltrans-transferase	2.5.1.10	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R02014	2'-Deoxyadenosine 5'-triphosphate:oxydized-thioredoxin 2'-oxidoreductase	1.17.4.2	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R02016	NADPH:oxidized-thioredoxin oxidoreductase	1.8.1.9	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R02017	2'-Deoxyadenosine 5'-diphosphate:oxidized-thioredoxin 2'-oxidoreductase	1.17.4.1	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R02018	2'-Deoxyuridine 5'-diphosphate:oxidized-thioredoxin 2'-oxidoreductase	1.17.4.1	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R02019	2'-Deoxyguanosine 5'-diphosphate:oxidized-thioredoxin 2'-oxidoreductase	1.17.4.1	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R02020	2'-Deoxyguanosine 5'-triphosphate:oxydized-thioredoxin 2'-oxidoreductase	1.17.4.2	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R02021	"adenosine 3',5'-bisphosphate,sulfite:oxidized-thioredoxin oxidoreductase (3'-phosphoadenosine-5'-phosphosulfate -forming)"	1.8.4.8	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R02022	2'-Deoxyuridine 5'-triphosphate:oxydized-thioredoxin 2'-oxidoreductase	1.17.4.2	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R02023	2'-Deoxyuridine 5'-triphosphate:oxydized-thioredoxin 2'-oxidoreductase	1.17.4.2	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R02024	2'-Deoxycytidine diphosphate:oxidized-thioredoxin 2'-oxidoreductase	1.17.4.1	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R02058	acetyl-CoA:D-glucosamine-6-phosphate N-acetyltransferase	2.3.1.4	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R02061	"trans,trans-Farnesyl-diphosphate:isopentenyl-diphosphate farnesyltranstransferase"	2.5.1.29	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R02081	(R)-Mevalonate:NAD + oxidoreductase (CoA-acetylating)	1.1.1.88	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R02093	ATP:dTDP phosphotransferase	2.7.4.6	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R02094	ATP:dTMP phosphotransferase	2.7.4.9; 2.7.4.12	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R02098	ATP:dUMP phosphotransferase	2.7.4.4; 2.7.4.9	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R02124	retinol:NAD + oxidoreductase	1.1.1.1; 1.1.1.105	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R02199	L-Isoleucine:2-oxoglutarate aminotransferase	2.6.1.42	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R02245	ATP:(R)-mevalonate 5-phosphotransferase	2.7.1.36	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R02269	"5,6-Dihydrouracil amidohydrolase"	3.5.2.2	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R02272	"(S)-4-Amino-5-oxopentanoate 4,5-aminomutase"	5.4.3.8	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R02283	N2-Acetyl-L-ornithine:2-oxoglutarate aminotransferase	2.6.1.11	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R02285	N-Formimino-L-glutamate formiminohydrolase	3.5.3.8	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R02291	L-Aspartate-4-semialdehyde:NADP + oxidoreductase (phosphorylating)	1.2.1.11	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R02301	5-Formyltetrahydrofolate cyclo-ligase (ADP-forming)	6.3.3.2	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R02319	NTP phosphohydrolase	3.6.1.15	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R02326	ATP:dCDP phosphotransferase	2.7.4.6	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R02328	dTTP:alpha-D-glucose-1-phosphate thymidylyltransferase	2.7.7.24	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R02331	ATP:dUDP phosphotransferase	2.7.4.6	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R02340	"(1S,2R)-1-C-(indol-3-yl)glycerol 3-phosphate D-glyceraldehyde-3-phosphate-lyase"	4.1.2.8; 4.2.1.20	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R02404	Itaconate:CoA ligase (ADP-forming)	6.2.1.5	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R02412	ATP:shikimate 3-phosphotransferase	2.7.1.71	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R02413	Shikimate:NADP + 3-oxidoreductase	1.1.1.25; 1.1.1.282	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R02433	L-cysteate:2-oxoglutarate aminotransferase	2.6.1.1	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R02485	deoxycytidine aminohydrolase	3.5.4.5; 3.5.4.14	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R02568	D-fructose 1-phosphate D-glyceraldehyde-3-phosphate-lyase	4.1.2.13	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R02585	Protein-tyrosine-phosphate phosphohydrolase	3.1.3.48	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R02619	3-sulfino-L-alanine:2-oxoglutarate aminotransferase	2.6.1.1	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R02649	ATP:N-acetyl-L-glutamate 5-phosphotransferase	2.7.2.8	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R02698	"4-hydroxyphenylacetate,NADH:oxygen oxidoreductase (3-hydroxylating)"	1.14.14.9	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R02722	L-serine hydro-lyase [adding 1-C-(indol-3-yl)glycerol 3-phosphate	4.2.1.20	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R02739	alpha-D-Glucose 6-phosphate ketol-isomerase	5.1.3.15; 5.3.1.9	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R02740	alpha-D-Glucose 6-phosphate ketol-isomerase	5.3.1.9	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R02767	(3R)-3-Hydroxyacyl-[acyl-carrier-protein]:NADP + oxidoreductase	1.1.1.100	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R02853	D-O-Phosphoserine phosphohydrolase	3.1.3.3	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R02864	S-Adenosyl-L-methionine:uroporphyrin-III C-methyltransferase	4.99.1.4	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R02918	L-Tyrosine:tRNA(Tyr) ligase (AMP-forming)	6.1.1.1	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R02961		2.1.1.72	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03005	ATP:nicotinamide-nucleotide adenylyltransferase	2.7.7.1; 2.7.7.18	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03012	L-Histidinol:NAD + oxidoreductase	1.1.1.23	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03020	tRNA-uridine uracilmutase	5.4.99.12	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03035	ATP:pantetheine-4'-phosphate adenylyltransferase	2.7.7.3	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03038	L-Alanine:tRNA(Ala) ligase (AMP-forming)	6.1.1.7	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03050	2-Acetolactate pyruvate-lyase (carboxylating)	2.2.1.6	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03051	"2,3-Dihydroxy-3-methylbutanoate:NADP + oxidoreductase (isomerizing)"	1.1.1.86	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03055	"5,6-Dihydrothymine amidohydrolase"	3.5.2.2	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03066	"2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine:4-aminobenzoate 2-amino-4-hydroxydihydropteridine-6-methenyltransferase"	2.5.1.15	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03067	"2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine-diphosphate:4-aminobenzoate 2-amino-4-hydroxydihydropteridine-6-methenyltransferase"	2.5.1.15	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03084	3-Dehydroquinate hydro-lyase	4.2.1.10	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03105	3-Mercaptopyruvate:cyanide sulfurtransferase	2.8.1.2	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03106	3-mercaptopyruvate:cyanide sulfurtransferase	2.8.1.2	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03132	O3-acetyl-L-serine acetate-lyase (adding hydrogen sulfide)	2.5.1.47; 2.5.1.48	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03165	Hydroxymethylbilane hydro-lyase(cyclizing)	4.2.1.75	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03182	"7,8-Diaminononanoate:carbon-dioxide cyclo-ligase"	6.3.3.3	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03231	S-Adenosyl-L-methionine:8-amino-7-oxononanoate aminotransferase	2.6.1.62	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03243	5-Amino-2-oxopentanoate:2-oxoglutarate aminotransferase	2.6.1.9	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03269	N-[(R)-4'-Phosphopantothenoyl]-L-cysteine carboxy-lyase	4.1.1.36	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03299	"3-Hydroxyphenylacetate,NADH:oxygen oxidoreductase (3-hydroxylating)"	1.14.14.9	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03319	"alpha-D-Hexose 1-phosphate 1,6-phosphomutase"	5.4.2.2	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03321	beta-D-Glucose 6-phosphate ketol-isomerase	5.3.1.9	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03348	Nicotinate-nucleotide:pyrophosphate phosphoribosyltransferase (carboxylating)	2.4.2.19	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03443	N-acetyl-L-glutamate-5-semialdehyde:NADP + 5-oxidoreductase (phosphrylating)	1.2.1.38	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03457	D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate hydro-lyase	4.2.1.19	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03458	5-amino-6-(5-phosphoribitylamino)uracil:NADP + 1'-oxidoreductase	1.1.1.193	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03460	Phosphoenolpyruvate:3-phosphoshikimate 5-O-(1-carboxyvinyl)-transferase	2.5.1.19	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03471	ATP:4-amino-5-hydroxymethyl-2-methylpyrimidine 5-phosphotransferase	2.7.1.49	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03472	"5-amino-1-(5-phospho-D-ribosyl)imidazole formate-lyase (decarboxylating, 4-amino-2-methyl-5-phosphomethylpyrimidine-forming)"	4.1.99.17	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03508	1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose-5-phosphate carboxy-lyase(cyclizing)	4.1.1.48	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03530	ATP:dIDP phosphotransferase	2.7.4.6	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03552	Acetyl-CoA:histone acetyltransferase	2.3.1.48	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03598			add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03599	L-selenocysteine selenide-lyase (L-alanine-forming)	4.4.1.16	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03601	O3-Acetyl-L-serine acetate-lyase (adding hydrogen sulfide)	2.5.1.47	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03632	ATP:protamine O-phosphotransferase	2.7.11.1	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03646	L-Arginine:tRNA(Arg) ligase (AMP-forming)	6.1.1.19	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03650	L-Cysteine:tRNA(Cys) ligase (AMP-forming)	6.1.1.16	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03654	Glycine:tRNA(Gly) ligase (AMP-forming)	6.1.1.14	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03655	L-Histidine:tRNA(His) ligase (AMP-forming)	6.1.1.21	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03656	L-Isoleucine:tRNA(Ile) ligase (AMP-forming)	6.1.1.5	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03657	L-Leucine:tRNA(Leu) ligase (AMP-forming)	6.1.1.4	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03658	L-Lysine:tRNALys ligase (AMP-forming)	6.1.1.6	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03659	L-Methionine:tRNAMet ligase (AMP-forming)	6.1.1.10	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03660	L-Phenylalanine:tRNA(Ala) ligase (AMP-forming)	6.1.1.20	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03661	L-Proline:tRNA(Pro) ligase (AMP-forming)	6.1.1.15	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03662	L-Serine:tRNA(Ser) ligase (AMP-forming)	6.1.1.11	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03663	L-Threonine:tRNA(Thr) ligase (AMP-forming)	6.1.1.3	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03664	L-Tryptophan -tRNA(Trp) ligase (AMP-forming)	6.1.1.2	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03665	L-Valine:tRNAVal ligase (AMP-forming)	6.1.1.9	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03767	Acetyl-CoA:gentamicin-C N3-acetyltransferase	2.3.1.60; 2.3.1.81	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03789	tRNA-guanosine34:queuine tRNA-D-ribosyltransferase	2.4.2.29	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03867	(5-Glutamyl)-peptide:amino-acid 5-glutamyltransferase	2.3.2.2	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03896	(R)-2-Methylmalate hydro-lyase (2-methylmaleate-forming)	4.2.1.35	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03898	2-methylmaleate hydratase		add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03905	Glu-tRNA(Gln):L-glutamine amido-ligase(ADP-forming)	6.3.5.7	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03916	(5-glutamyl)-peptide:amino-acid 5-glutamyltransferase	2.3.2.2	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03940	10-Formyltetrahydrofolate:L-methionyl-tRNA N-formyltransferase	2.1.2.9	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03947	S-Adenosyl-L-methionine:uroporphyrin-III C-methyltransferase	1.3.1.76	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03948	S-adenosyl-L-methionine:precorrin-4 C20-methyltransferase	2.1.1.130	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03950	uroporphyrinogen methyltransferase	2.1.1.107	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03966	4-oxalocrotonate tautomerase	5.3.2.-	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03968	2-Isopropylmalate hydro-lyase	4.2.1.33	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03970	gamma-glutamyltranspeptidase	2.3.2.2	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03971	gamma-glutamyl-beta-aminopropiononitrile amidohydrolase	2.3.2.2	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04001	3-Isopropylmalate hydro-lyase	4.2.1.33	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
